0	673
1	196
2	161
3	92
4	82
5	82
6	64
7	75
8	65
9	46
10	30
11	27
12	32
13	28
14	33
15	28
16	22
17	48
18	48
19	27
20	30
21	26
22	27
23	32
24	24
25	30
26	17
27	19
28	26
29	15
30	23
31	28
32	22
33	34
34	36
35	30
36	24
37	23
38	19
39	28
40	21
41	13
42	16
43	22
44	18
45	28
46	14
47	18
48	12
49	9
50	10
51	8
52	7
53	16
54	10
55	14
56	5
57	10
58	5
59	4
60	8
61	4
62	14
63	11
64	14
65	9
66	8
67	9
68	6
69	9
70	10
71	7
72	4
73	2
74	7
75	2
76	11
77	10
78	6
79	8
80	9
81	5
82	14
83	6
84	10
85	6
86	8
87	8
88	4
89	6
90	8
91	10
92	8
93	7
94	4
95	7
96	6
97	5
98	5
99	6
100	3
101	6
102	5
103	0
104	2
105	3
106	0
107	1
108	3
109	4
110	4
111	0
112	2
113	1
114	2
115	4
116	2
117	2
118	1
119	1
120	0
121	1
122	3
123	0
124	1
125	2
126	0
127	1
128	2
129	3
130	0
131	0
132	3
133	1
134	2
135	2
136	1
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	1
146	1
147	0
148	1
